provincia destinazione,area geografica provenienza,paese provenienza,esercizi alberghieri - arrivi,esercizi alberghieri - presenze,esercizi complementari - arrivi,esercizi complementari - presenze,totale esercizi ricettivi - arrivi,totale esercizi ricettivi - presenze
Latina,Unione Europea,Romania,2.127,10.203,260,1.880,2.387,12.083
Latina,Unione Europea,Svezia,3.865,24.738,511,3.412,4.376,28.150
Latina,Unione Europea,Slovenia,210,1.080,24,61,234,1.141
Latina,Unione Europea,Slovacchia,109,625,23,192,132,817
Latina,Unione Europea,Regno unito,4.573,20.689,679,3.038,5.252,23.727
Frosinone,Unione Europea,Italia,261.556,663.507,15.056,48.894,276.612,712.401
Frosinone,Unione Europea,Austria,1.424,3.704,13,57,1.437,3.761
Frosinone,Unione Europea,Belgio,984,1.967,58,287,1.042,2.254
Frosinone,Unione Europea,Bulgaria,275,921,7,16,282,937
Frosinone,Unione Europea,Cipro,17,53,-,-,17,53
Frosinone,Unione Europea,"Ceca, Repubblica",1.926,3.762,13,44,1.939,3.806
Frosinone,Unione Europea,Germania,8.097,24.501,306,1.281,8.403,25.782
Frosinone,Unione Europea,Danimarca,211,410,42,146,253,556
Frosinone,Unione Europea,Estonia,30,41,-,-,30,41
Frosinone,Unione Europea,Spagna,1.659,6.300,95,294,1.754,6.594
Frosinone,Unione Europea,Finlandia,148,289,2,4,150,293
Frosinone,Unione Europea,Francia,46.652,66.970,232,1.019,46.884,67.989
Frosinone,Unione Europea,Grecia,185,481,4,21,189,502
Frosinone,Unione Europea,Ungheria,327,861,5,16,332,877
Frosinone,Unione Europea,Irlanda,1.728,6.752,18,30,1.746,6.782
Frosinone,Unione Europea,Lituania,2.176,3.148,14,56,2.190,3.204
Frosinone,Unione Europea,Lussemburgo,30,85,1,3,31,88
Frosinone,Unione Europea,Lettonia,60,92,-,-,60,92
Frosinone,Unione Europea,Malta,132,286,1,1,133,287
Frosinone,Unione Europea,Paesi Bassi,3.041,8.510,90,338,3.131,8.848
Frosinone,Unione Europea,Polonia,44.414,103.517,580,1.073,44.994,104.590
Frosinone,Unione Europea,Portogallo,268,588,1,2,269,590
Frosinone,Unione Europea,Romania,1.495,6.017,234,722,1.729,6.739
Frosinone,Unione Europea,Svezia,384,733,26,52,410,785
Frosinone,Unione Europea,Slovenia,2.445,4.219,9,39,2.454,4.258
Frosinone,Unione Europea,Slovacchia,547,1.005,11,147,558,1.152
Frosinone,Unione Europea,Regno unito,7.015,20.823,115,398,7.130,21.221
Viterbo,Paesi europei non UE,Islanda,62,128,7,9,69,137
Viterbo,Paesi europei non UE,Norvegia,1.166,4.842,574,2.146,1.740,6.988
Viterbo,Paesi europei non UE,Svizzera,488,1.296,334,2.811,822,4.107
Viterbo,Paesi europei non UE,Croazia,771,2.682,2.795,21.546,3.566,24.228
Viterbo,Paesi europei non UE,Turchia,47,113,22,29,69,142
Viterbo,Paesi europei non UE,Russia,264,1.367,68,218,332,1.585
Viterbo,Paesi europei non UE,Altri paesi europei,353,986,95,215,448,1.201
Viterbo,Paesi extraeuropei,Egitto,9,18,2,19,11,37
Viterbo,Paesi extraeuropei,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",45,126,35,343,80,469
Viterbo,Paesi extraeuropei,Sud Africa,32,68,10,34,42,102
Viterbo,Paesi extraeuropei,Altri paesi africani,99,238,26,102,125,340
Viterbo,Paesi extraeuropei,Israele,378,1.602,408,2.421,786,4.023
Viterbo,Paesi extraeuropei,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",54,805,42,57,96,862
Viterbo,Paesi extraeuropei,Cina,438,723,49,64,487,787
Viterbo,Paesi extraeuropei,Giappone,275,713,23,372,298,1.085
Viterbo,Paesi extraeuropei,Corea del sud,55,390,6,13,61,403
Viterbo,Paesi extraeuropei,India,46,100,-,-,46,100
Viterbo,Paesi extraeuropei,Altri Paesi dell'Asia,470,7.915,29,110,499,8.025
Viterbo,Paesi extraeuropei,Canada,521,1.288,107,337,628,1.625
Viterbo,Paesi extraeuropei,Stati Uniti,2.002,6.523,336,966,2.338,7.489
Viterbo,Paesi extraeuropei,Messico,99,340,12,41,111,381
Viterbo,Paesi extraeuropei,Argentina,173,2.402,44,125,217,2.527
Viterbo,Paesi extraeuropei,Brasile,319,619,59,132,378,751
Viterbo,Paesi extraeuropei,Venezuela,318,660,46,140,364,800
Viterbo,Paesi extraeuropei,"Altri Paesi dell'America Latina (Bolivia, Cile, Colombia, Guyana, Ecuador, Perù,  Paraguay, Suriname, Uruguay)",1.164,5.013,390,1.495,1.554,6.508
Viterbo,Paesi extraeuropei,Australia,312,2.160,99,271,411,2.431
Viterbo,Paesi extraeuropei,Nuova Zelanda,52,1.131,34,116,86,1.247
Viterbo,Paesi extraeuropei,Altri,277,979,88,264,365,1.243
Rieti,Paesi europei non UE,Islanda,4,8,-,-,4,8
Rieti,Paesi europei non UE,Norvegia,374,427,14,100,388,527
Rieti,Paesi europei non UE,Svizzera,251,428,49,125,300,553
Rieti,Paesi europei non UE,Croazia,19,46,3,45,22,91
Rieti,Paesi europei non UE,Turchia,27,53,-,-,27,53
Rieti,Paesi europei non UE,Russia,175,476,13,79,188,555
Rieti,Paesi europei non UE,Altri paesi europei,166,544,70,418,236,962
Rieti,Paesi extraeuropei,Egitto,5,6,2,7,7,13
Rieti,Paesi extraeuropei,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",51,112,3,3,54,115
Rieti,Paesi extraeuropei,Sud Africa,7,68,2,2,9,70
Rieti,Paesi extraeuropei,Altri paesi africani,71,808,66,370,137,1.178
Rieti,Paesi extraeuropei,Israele,83,149,9,54,92,203
Rieti,Paesi extraeuropei,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",24,46,2,39,26,85
Rieti,Paesi extraeuropei,Cina,1.774,1.835,29,72,1.803,1.907
Rieti,Paesi extraeuropei,Giappone,108,184,-,-,108,184
Rieti,Paesi extraeuropei,Corea del sud,56,75,9,64,65,139
Rieti,Paesi extraeuropei,India,22,49,1,7,23,56
Rieti,Paesi extraeuropei,Altri Paesi dell'Asia,119,176,12,116,131,292
Rieti,Paesi extraeuropei,Canada,55,134,14,31,69,165
Rieti,Paesi extraeuropei,Stati Uniti,478,1.159,63,227,541,1.386
Rieti,Paesi extraeuropei,Messico,11,41,4,47,15,88
Rieti,Paesi extraeuropei,Argentina,84,187,32,179,116,366
Rieti,Paesi extraeuropei,Brasile,105,217,50,203,155,420
Rieti,Paesi extraeuropei,Venezuela,16,37,4,20,20,57
Rieti,Paesi extraeuropei,"Altri Paesi dell'America Latina (Bolivia, Cile, Colombia, Guyana, Ecuador, Perù,  Paraguay, Suriname, Uruguay)",32,41,16,129,48,170
Rieti,Paesi extraeuropei,Australia,86,148,10,12,96,160
Rieti,Paesi extraeuropei,Nuova Zelanda,8,11,2,4,10,15
Rieti,Paesi extraeuropei,Altri,21,35,4,32,25,67
Roma,Paesi europei non UE,Islanda,5.733,23.301,599,2.981,6.332,26.282
Roma,Paesi europei non UE,Norvegia,64.347,279.821,6.283,33.940,70.630,313.761
Roma,Paesi europei non UE,Svizzera,64.611,255.646,6.010,30.793,70.621,286.439
Roma,Paesi europei non UE,Croazia,10.750,33.467,747,2.941,11.497,36.408
Roma,Paesi europei non UE,Turchia,35.882,105.082,3.299,11.818,39.181,116.900
Roma,Paesi europei non UE,Russia,182.178,535.370,16.916,60.025,199.094,595.395
Roma,Paesi europei non UE,Altri paesi europei,31.591,110.114,3.232,13.645,34.823,123.759
Roma,Paesi extraeuropei,Egitto,5.438,20.570,504,2.337,5.942,22.907
Roma,Paesi extraeuropei,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",8.158,24.712,721,2.562,8.879,27.274
Roma,Paesi extraeuropei,Sud Africa,11.808,32.249,1.234,3.964,13.042,36.213
Roma,Paesi extraeuropei,Altri paesi africani,4.040,15.157,497,2.435,4.537,17.592
Roma,Paesi extraeuropei,Israele,27.577,81.552,2.518,8.923,30.095,90.475
Roma,Paesi extraeuropei,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",29.686,111.842,2.799,12.609,32.485,124.451
Roma,Paesi extraeuropei,Cina,128.701,209.901,7.828,17.965,136.529,227.866
Roma,Paesi extraeuropei,Giappone,328.409,748.252,26.753,77.122,355.162,825.374
Roma,Paesi extraeuropei,Corea del sud,56.796,127.533,4.930,13.662,61.726,141.195
Roma,Paesi extraeuropei,India,22.669,56.515,1.854,5.668,24.523,62.183
Roma,Paesi extraeuropei,Altri Paesi dell'Asia,21.421,56.801,1.364,4.381,22.785,61.182
Roma,Paesi extraeuropei,Canada,152.632,414.699,15.270,51.620,167.902,466.319
Roma,Paesi extraeuropei,Stati Uniti,1.529.700,3.834.727,149.521,459.458,1.679.221,4.294.185
Roma,Paesi extraeuropei,Messico,42.061,125.758,4.302,15.770,46.363,141.528
Roma,Paesi extraeuropei,Argentina,30.776,98.262,3.086,12.197,33.862,110.459
Roma,Paesi extraeuropei,Brasile,71.429,224.412,6.947,27.395,78.376,251.807
Roma,Paesi extraeuropei,Venezuela,11.681,41.228,1.118,4.829,12.799,46.057
Roma,Paesi extraeuropei,"Altri Paesi dell'America Latina (Bolivia, Cile, Colombia, Guyana, Ecuador, Perù,  Paraguay, Suriname, Uruguay)",35.079,102.036,3.327,11.845,38.406,113.881
Roma,Paesi extraeuropei,Australia,143.661,376.881,14.512,46.478,158.173,423.359
Roma,Paesi extraeuropei,Nuova Zelanda,21.777,66.698,2.323,8.630,24.100,75.328
Roma,Paesi extraeuropei,Altri,130.666,288.768,10.973,30.550,141.639,319.318
Latina,Paesi europei non UE,Islanda,56,235,-,-,56,235
Latina,Paesi europei non UE,Norvegia,2.742,16.466,334,2.365,3.076,18.831
Latina,Paesi europei non UE,Svizzera,2.478,10.625,595,3.651,3.073,14.276
Latina,Paesi europei non UE,Croazia,249,1.059,20,152,269,1.211
Latina,Paesi europei non UE,Turchia,168,682,8,15,176,697
Latina,Paesi europei non UE,Russia,11.974,73.377,426,2.357,12.400,75.734
Latina,Paesi europei non UE,Altri paesi europei,1.459,7.738,165,922,1.624,8.660
Latina,Paesi extraeuropei,Egitto,82,237,13,28,95,265
Latina,Paesi extraeuropei,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",331,1.238,25,98,356,1.336
Latina,Paesi extraeuropei,Sud Africa,73,171,3,19,76,190
Latina,Paesi extraeuropei,Altri paesi africani,87,342,15,188,102,530
Latina,Paesi extraeuropei,Israele,766,3.448,15,26,781,3.474
Latina,Paesi extraeuropei,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",63,143,11,98,74,241
Latina,Paesi extraeuropei,Cina,361,2.312,8,29,369,2.341
Latina,Paesi extraeuropei,Giappone,304,1.018,23,52,327,1.070
Latina,Paesi extraeuropei,Corea del sud,338,787,17,66,355,853
Latina,Paesi extraeuropei,India,218,1.191,8,43,226,1.234
Latina,Paesi extraeuropei,Altri Paesi dell'Asia,376,2.104,36,70,412,2.174
Latina,Paesi extraeuropei,Canada,1.700,6.973,103,326,1.803,7.299
Latina,Paesi extraeuropei,Stati Uniti,6.356,26.479,554,2.111,6.910,28.590
Latina,Paesi extraeuropei,Messico,85,277,9,49,94,326
Latina,Paesi extraeuropei,Argentina,324,863,23,62,347,925
Latina,Paesi extraeuropei,Brasile,625,1.889,65,440,690,2.329
Latina,Paesi extraeuropei,Venezuela,124,466,6,26,130,492
Latina,Paesi extraeuropei,"Altri Paesi dell'America Latina (Bolivia, Cile, Colombia, Guyana, Ecuador, Perù,  Paraguay, Suriname, Uruguay)",380,1.327,81,351,461,1.678
Latina,Paesi extraeuropei,Australia,594,1.914,128,602,722,2.516
Latina,Paesi extraeuropei,Nuova Zelanda,113,417,34,99,147,516
Latina,Paesi extraeuropei,Altri,185,741,46,170,231,911
Frosinone,Paesi europei non UE,Islanda,12,37,-,-,12,37
Frosinone,Paesi europei non UE,Norvegia,1.062,2.936,49,134,1.111,3.070
Frosinone,Paesi europei non UE,Svizzera,1.159,2.023,51,195,1.210,2.218
Frosinone,Paesi europei non UE,Croazia,1.322,4.319,10,12,1.332,4.331
Frosinone,Paesi europei non UE,Turchia,166,496,-,-,166,496
Frosinone,Paesi europei non UE,Russia,2.421,12.681,17,32,2.438,12.713
Frosinone,Paesi europei non UE,Altri paesi europei,3.673,12.998,31,57,3.704,13.055
Frosinone,Paesi extraeuropei,Egitto,44,107,4,5,48,112
Frosinone,Paesi extraeuropei,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",187,619,5,6,192,625
Frosinone,Paesi extraeuropei,Sud Africa,54,87,1,2,55,89
Frosinone,Paesi extraeuropei,Altri paesi africani,262,1.158,29,29,291,1.187
Frosinone,Paesi extraeuropei,Israele,534,669,22,56,556,725
Frosinone,Paesi extraeuropei,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",200,782,4,19,204,801
Frosinone,Paesi extraeuropei,Cina,300,1.188,2,9,302,1.197
Frosinone,Paesi extraeuropei,Giappone,261,1.104,3,11,264,1.115
Frosinone,Paesi extraeuropei,Corea del sud,17.522,42.347,1,1,17.523,42.348
Frosinone,Paesi extraeuropei,India,157,488,-,-,157,488
Frosinone,Paesi extraeuropei,Altri Paesi dell'Asia,1.309,1.496,3,24,1.312,1.520
Frosinone,Paesi extraeuropei,Canada,1.336,3.329,90,318,1.426,3.647
Frosinone,Paesi extraeuropei,Stati Uniti,2.541,6.562,171,424,2.712,6.986
Frosinone,Paesi extraeuropei,Messico,73,108,3,9,76,117
Frosinone,Paesi extraeuropei,Argentina,227,491,-,-,227,491
Frosinone,Paesi extraeuropei,Brasile,489,1.183,33,66,522,1.249
Frosinone,Paesi extraeuropei,Venezuela,118,278,6,22,124,300
Frosinone,Paesi extraeuropei,"Altri Paesi dell'America Latina (Bolivia, Cile, Colombia, Guyana, Ecuador, Perù,  Paraguay, Suriname, Uruguay)",217,550,13,18,230,568
Frosinone,Paesi extraeuropei,Australia,361,751,41,86,402,837
Frosinone,Paesi extraeuropei,Nuova Zelanda,64,94,19,38,83,132
Frosinone,Paesi extraeuropei,Altri,78,218,7,33,85,251
